ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetEarthRadius,PlanetEquilibriumTemperature,PlanetInsolationValue,StellarEffectiveTemperature,StellarLogG,StellarSunRadius,RightAscension,Declination,PlanetType,PlanetName
K02321.02,CAND,36.2530992,4.73,152.1,1.43,582,27.17,6002,4.424,1.081,296.70724,41.203651,TBD,N/A
K02421.02,CAND,4.02321842,2.162,81.2,0.48,747,73.5,4671,4.721,0.528,298.41931,45.071442,TBD,N/A
K02439.02,CAND,7.5017934,4.271,134.8,1.32,1046,283.25,6321,4.417,1.125,293.12738,42.320099,TBD,N/A
K02449.02,CAND,0.912351255,1.072,111.8,1.46,1840,2705.58,5481,4.369,1.036,291.55051,50.825611,TBD,N/A
K06329.01,CAND,12.4701111,3.616,89.7,2.06,1074,313.87,5623,3.877,2.109,292.52939,38.489079,TBD,N/A
K06331.01,CAND,5.8229815,2.8,281.6,1.36,914,165.12,5704,4.575,0.804,294.87256,38.43446,TBD,N/A
K06860.01,CAND,0.576732089,1.856,35.4,0.43,1537,1316.33,4524,4.576,0.717,280.77686,42.924541,TBD,N/A
K06985.01,CAND,10.9279755,2.486,71.5,0.81,834,114.42,6045,4.494,0.955,296.56937,44.01722,TBD,N/A
K07125.01,CAND,7.918267,3.478,83.7,0.93,953,195.36,5966,4.418,1.016,293.20148,45.354691,TBD,N/A
K07252.01,CAND,10.2170589,2.259,121.3,1.17,929,176.34,6211,4.384,1.054,298.54852,46.756641,TBD,N/A
K07389.01,CAND,27.5837778,1.516,202.5,11.03,1330,739.57,5092,2.945,7.913,296.84967,48.323318,TBD,N/A
K07520.01,CAND,3.14735789,3.643,51.8,3.45,2209,5635.4,5189,3.352,4.93,289.82199,51.063492,TBD,N/A
K02523.02,CAND,2.61090223,1.976,222.5,1.8,1323,724.16,5514,4.345,1.071,299.16953,43.44109,TBD,N/A
K02564.02,CAND,17.6637979,6.194,67.9,2.98,1178,455.65,5734,3.591,3.405,293.57394,45.384541,TBD,N/A
K02623.02,CAND,4.02664625,3.771,30,0.68,1318,715.51,6187,4.341,1.238,290.02591,48.335949,TBD,N/A
K02636.02,CAND,5.1777226,8.275,41.7,0.63,1050,287.44,5854,4.469,0.979,289.68671,41.588928,TBD,N/A
K00283.03,CAND,9.48814747,1.163,47.9,0.73,856,126.75,5680,4.414,1.016,288.53082,40.942299,TBD,N/A
K02756.02,CAND,5.06993245,3.241,93.6,0.92,1053,291.11,5957,4.506,0.937,296.23282,42.47279,TBD,N/A
K06342.01,CAND,8.1770751,4.608,44.3,0.83,1115,365.09,6501,4.281,1.209,292.10071,38.61499,TBD,N/A
K06343.01,CAND,569.45051,9.63,425.4,1.96,225,0.61,6117,4.496,0.947,292.47549,38.691311,TBD,N/A
K06475.01,CAND,4.84505985,2.078,298.4,1.54,723,64.57,4337,4.581,0.714,295.79138,40.01236,TBD,N/A
K07880.01,CAND,623.70774,6.688,250.9,1.81,258,1.05,6626,4.347,1.132,294.95258,44.207909,TBD,N/A
K06600.01,CAND,2.70581614,6.56,46.9,0.69,1356,799.75,5992,4.42,0.961,299.11465,40.748619,TBD,N/A
K06731.01,CAND,3.84615171,2.24,137.1,1.14,1199,487.47,6106,4.487,0.966,299.07507,41.94223,TBD,N/A
K06733.01,CAND,1.28940823,3.652,32.1,2.48,3112,22119.66,5826,3.465,4.189,283.77316,42.070862,TBD,N/A
K06734.01,CAND,498.27269,8.92,534,2.12,214,0.5,5618,4.514,0.932,286.60938,42.063229,TBD,N/A
K06862.01,CAND,11.0495766,2.13,102.8,0.83,738,70.24,5533,4.505,0.819,285.50293,42.911789,TBD,N/A
K06993.01,CAND,13.8086331,3.613,207.1,1.09,659,44.5,5515,4.568,0.761,289.62292,44.104431,TBD,N/A
K06994.01,CAND,4.25907841,4.513,28.1,0.7,1253,583.12,5560,4.173,1.316,289.77121,44.139969,TBD,N/A
K07129.01,CAND,64.1983721,0.934,248.2,1.74,506,15.49,6088,4.329,1.077,290.38025,45.445419,TBD,N/A
K07133.01,CAND,82.78482,7.52,190.4,2.16,501,14.88,5749,4.123,1.48,295.55292,45.473431,TBD,N/A
K07258.01,CAND,2.4376438,1.587,27.1,0.79,1686,1909.13,5927,4.117,1.53,287.76895,46.83194,TBD,N/A
K07259.01,CAND,0.721522907,1.4521,22528,11.04,1475,1115.99,4893,4.634,0.625,288.49091,46.804989,TBD,N/A
K07264.01,CAND,19.1644498,3.553,63.8,1.83,988,225.26,5877,3.86,2.234,295.04248,46.863991,TBD,N/A
K07400.01,CAND,4.15736472,2.217,200.7,1.09,931,178.03,5183,4.558,0.782,286.40033,48.521961,TBD,N/A
K03019.02,CAND,2.012094,2.157,74.8,0.99,1523,1274.27,5633,4.296,1.162,298.40137,44.838181,TBD,N/A
K03053.02,CAND,9.4767057,3.893,230.5,1.38,841,118.13,5911,4.519,0.914,292.25464,37.97142,TBD,N/A
K03068.02,CAND,6.65171459,2.325,151.5,0.84,713,61.01,4889,4.637,0.686,290.26028,38.354988,TBD,N/A
K03344.03,CAND,208.54335,9.851,614.6,2.84,321,2.52,5533,4.275,1.166,289.66489,50.020039,TBD,N/A
K03348.02,CAND,17.7189786,4.102,176.8,1.44,713,61.01,5566,4.329,1.099,294.69406,45.86684,TBD,N/A
K03395.02,CAND,5.0395851,4.556,70.1,0.78,1067,306.35,5912,4.453,0.924,286.54041,38.3326,TBD,N/A
K03425.03,CAND,7.64370363,2.738,70.9,1.85,1334,748.7,6120,3.934,2,300.31619,45.49538,TBD,N/A
K06352.01,CAND,5.11683678,3.119,161.4,1.16,1039,275.15,5955,4.52,0.91,295.73334,38.792011,TBD,N/A
K06484.01,CAND,16.1191449,3.039,262.2,1.34,619,34.7,5319,4.514,0.783,286.54742,40.150539,TBD,N/A
K06601.01,CAND,17.9925973,2.762,198.5,1.62,748,73.97,5931,4.351,1.087,283.13373,40.852421,TBD,N/A
K06605.01,CAND,74.371666,12.59,102.8,2.39,767,81.88,6865,3.742,2.211,291.04001,40.84993,TBD,N/A
K06739.01,CAND,19.164111,2.773,215.9,1.11,519,17.12,5103,4.65,0.674,291.09485,42.002918,TBD,N/A
K06872.01,CAND,13.5164708,2.628,140.1,0.88,645,40.81,5442,4.6,0.747,296.91513,42.905079,TBD,N/A
K07002.01,CAND,4.83014159,0.957,192,1.3,1039,275.02,5693,4.467,0.939,296.69574,44.150761,TBD,N/A
K07003.01,CAND,2.41194057,1.787,67.3,1.35,1654,1771.98,5598,4.045,1.594,298.88669,44.11586,TBD,N/A
K07007.01,CAND,0.800263219,0.729,170.5,0.77,1240,561.84,4336,4.656,0.59,284.77267,44.249371,TBD,N/A
K07136.01,CAND,441.17369,14.82,702,2.27,217,0.52,5610,4.551,0.858,290.30801,45.598412,TBD,N/A
K07270.01,CAND,19.2532128,1.674,219.3,1.42,692,54.13,6060,4.495,0.953,287.46475,46.96841,TBD,N/A
K07272.01,CAND,14.1011023,4.513,108.2,1.26,904,157.56,6534,4.365,1.199,295.08221,46.941711,TBD,N/A
K07404.01,CAND,1.817079849,0.889,204.6,1.39,1454,1056.39,5808,4.503,0.963,282.55869,48.63097,TBD,N/A
K07408.01,CAND,5.15998178,3.356,412.4,19.07,574,25.63,3900,4.727,0.534,295.83051,48.602261,TBD,N/A
K07534.01,CAND,23.3787733,6.76,76,0.92,694,54.98,6210,4.424,1.054,288.29788,51.326519,TBD,N/A
K07535.01,CAND,15.09984259,0.222,484.8,4.11,576,25.98,5191,4.615,0.65,290.54504,51.32362,TBD,N/A
K07539.01,CAND,15.3416245,2.126,269.6,1.3,605,31.63,5061,4.504,0.814,296.28311,51.404362,TBD,N/A
K07540.01,CAND,21.980467,4.78,96,0.92,625,36.07,5573,4.418,0.936,289.82422,51.552029,TBD,N/A
