ObjectOfInterest,Disposition,OrbitalPeriod,TransitDuration,TransitDepth,PlanetType,PlanetName,StarSunDiameter,PlanetEarthVolume,StarClassification,MainSequence,PlanetEarthTemperature,StarSunMass
K01307.01,CFRM,0.12279835646817247,3.5729,780.8,Neptune-like,Kepler-287 c,0.4675737554858934,8.253313856244424e-05,G,1,2.011764705882353,0.927246999716506
K01307.02,CFRM,0.05569439665982204,2.3351,564.6,Neptune-like,Kepler-287 b,0.4675737554858934,7.09538624059222e-05,G,1,2.615686274509804,0.927246999716506
K00157.05,CFRM,0.324103144421629,9.5574,1083.3,Neptune-like,Kepler-11 g,0.4566593354231975,8.376497645143594e-05,G,1,1.4745098039215687,0.9240167930808332
K01308.01,CFRM,0.06457069804243669,5.5545,429.2,Neptune-like,Kepler-811 b,0.5911249905956114,7.39102733395023e-05,G,0,2.8627450980392157,0.9502848899406793
K01364.03,CFRM,0.03279628772073922,3.751,707.9,Neptune-like,Kepler-292 e,0.3527540564263323,5.198355891544995e-05,G,0,2.6588235294117646,0.823074632285338
K01366.01,CFRM,0.05271468919917865,4.6509,987.7,Neptune-like,Kepler-293 b,0.4108187711598746,7.489574365069566e-05,G,0,2.5764705882352943,1.0394311839762282
K01433.01,CFRM,0.054231013360711844,3.453,616.3,Neptune-like,Kepler-846 b,0.3667245141065831,5.1244456182054926e-05,G,0,2.447058823529412,0.9314832873917526
K01310.01,CFRM,0.05237365100616016,3.9622,451.2,Neptune-like,Kepler-813 b,0.7465463322884013,0.00010421348540869825,G,0,3.203921568627451,1.085447232992269
K01311.01,CFRM,0.2288246340862423,7.2487,630.8,Neptune-like,Kepler-1667 b,1.1185097680250784,0.0001633417040803001,F,0,2.5686274509803924,1.4715490609691826
K01312.01,CFRM,0.016829556741957564,3.3153,249.6,Neptune-like,Kepler-814 b,0.5658035360501568,5.025898587086156e-05,F,1,4.564705882352941,1.1825690217823324
K01366.02,CFRM,0.14827060479123888,4.432,1109.8,Neptune-like,Kepler-293 c,0.4108187711598746,9.55906201857563e-05,G,0,1.8274509803921568,1.0394311839762282
K01435.01,CFRM,0.11147173114305271,8.587,563.9,Neptune-like,Kepler-300 c,0.3846241630094044,5.420086711563502e-05,G,0,2.023529411764706,0.969545761048847
K01314.01,CFRM,0.02347720692676249,8.653,160.6,Neptune-like,Kepler-815 b,1.5123020438871473,0.00010495258814209325,K,0,5.3882352941176475,1.269908007818751
